,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
281,Port Said,25.34,30.55,56.63,35,0,8.72,1554066394
282,Abu Zabad,12.35,29.25,70.76,27,0,10.18,1554066246
283,San Isidro,16.74,121.63,70.04,92,8,2.68,1554066398
284,Suluq,31.67,20.25,46.28,92,0,5.59,1554066398
285,Sobolevo,54.43,31.9,43.31,69,80,16.67,1554066039
286,Khilchipur,24.05,76.58,69.68,57,0,2.68,1554066398
287,Luba,17.32,120.7,70.76,90,48,2.68,1554066399
288,Pangnirtung,66.15,-65.72,8.6,65,75,2.24,1554062400
289,Tahe,52.34,124.71,10.37,75,0,5.37,1554066399
290,Leshukonskoye,64.9,45.76,24.77,84,0,4.47,1554066187
291,Huarmey,-10.07,-78.15,77.06,59,20,4.36,1554066020
292,Usinsk,66.0,57.56,28.64,88,80,10.96,1554066399
293,Ambilobe,-13.19,49.05,73.28,99,80,2.91,1554066096
294,Lagoa,37.14,-8.45,59.68,82,20,3.36,1554065537
295,Norman Wells,65.28,-126.83,37.4,95,90,14.99,1554062400
296,Dunedin,-45.87,170.5,61.13,53,0,17.0,1554066034
297,Fort Abbas,29.19,72.85,64.37,50,0,1.9,1554066400
298,Swan River,52.11,-101.27,35.48,64,56,6.04,1554066400
299,Neuquen,-38.95,-68.06,86.0,35,0,3.36,1554062400
300,Iqaluit,63.75,-68.52,12.11,61,75,4.7,1554065521
301,Tuatapere,-46.13,167.69,55.0,75,24,8.01,1554065406
302,Matara,-13.74,-72.9,54.92,79,44,2.35,1554066401
303,Egvekinot,66.32,-179.17,27.65,95,92,3.24,1554066113
304,Qostanay,53.17,63.58,26.6,92,0,6.71,1554064200
305,Guarapari,-20.67,-40.5,79.74,65,40,9.17,1554064452
306,Bontang,0.12,117.47,77.96,100,80,2.46,1554066116
307,Cayenne,4.94,-52.33,84.2,66,76,10.29,1554064200
308,Hualmay,-11.1,-77.61,73.91,70,12,5.26,1554065903
309,Calvinia,-31.47,19.78,52.85,61,44,7.16,1554066089
310,Marawi,8.0,124.29,68.0,85,0,8.01,1554066046
311,Gumdag,39.2,54.59,45.74,79,88,19.01,1554066402
312,Vila Velha,-3.71,-38.6,82.13,78,75,6.93,1554065887
313,Shimoda,34.7,138.93,50.78,100,0,8.61,1554066154
314,Sal Rei,16.18,-22.92,69.8,64,40,12.75,1554062400
315,Katra,32.99,74.93,46.01,75,0,2.13,1554066403
316,Tiksi,71.64,128.87,16.76,79,8,5.82,1554065906
317,Mariental,52.28,10.99,41.38,64,0,8.72,1554066349
318,Oistins,13.07,-59.53,82.4,69,40,18.34,1554062400
319,Springdale,36.19,-94.13,48.27,31,1,6.93,1554066294
320,Kasempa,-13.46,25.83,61.49,82,0,2.46,1554066405
321,Pella,41.41,-92.92,42.12,30,1,6.93,1554066066
322,Gornopravdinsk,60.06,69.92,31.34,88,88,9.73,1554066010
323,Krasnouralsk,58.36,60.04,31.34,87,48,7.16,1554066405
324,Komsomolskiy,67.55,63.78,26.93,90,64,16.67,1554065838
325,Chapais,49.78,-74.86,26.6,68,90,14.99,1554062400
326,Hasaki,35.73,140.83,33.55,80,20,3.36,1554065677
327,Coquimbo,-29.95,-71.34,66.2,72,20,14.99,1554062400
328,Kaeo,-35.1,173.78,69.01,96,92,11.97,1554064687
329,Turkan,35.6,68.92,21.08,100,0,0.67,1554066406
330,Chitral,35.85,71.79,9.38,76,0,1.23,1554065836
331,Porbandar,21.64,69.61,72.83,80,0,10.18,1554066406
332,Merrill,42.03,-121.6,57.76,30,1,10.29,1554065824
333,Vanavara,60.35,102.28,31.25,97,92,5.14,1554066091
334,Brownwood,31.71,-98.99,51.48,27,1,8.05,1554065139
335,Roebourne,-20.77,117.15,71.66,68,32,2.91,1554066407
336,San Jeronimo,-13.65,-73.37,54.92,79,44,2.35,1554066126
337,Eyl,7.98,49.82,78.41,100,88,7.72,1554066407
338,Airai,-8.93,125.41,63.2,85,0,0.56,1554065828
339,Taguatinga,-15.83,-48.06,82.4,45,20,6.93,1554062400
340,Gwadar,25.12,62.33,75.89,77,0,9.4,1554066408
341,Witu,-2.39,40.44,82.4,74,1,3.36,1554062160
342,Hamilton,32.3,-64.78,70.83,78,75,12.75,1554065220
343,Sioux Lookout,50.1,-91.92,33.8,37,75,10.29,1554062400
344,Sorland,67.67,12.69,36.74,100,92,29.19,1554066102
345,Ambatofinandrahana,-20.55,46.8,55.46,88,0,2.24,1554066408
346,Chhapra,25.78,84.75,75.2,83,40,9.17,1554064200
347,Lashio,22.93,97.75,59.87,92,12,1.9,1554066215
348,Sampit,-2.54,112.95,72.65,96,68,6.49,1554066409
349,Morden,49.19,-98.1,35.47,100,90,0.56,1554066375
350,Mandalgovi,45.76,106.27,22.25,54,44,8.95,1554066409
351,Mirador,-6.37,-44.36,80.21,80,32,4.03,1554066410
352,Harper,30.3,-99.24,54.16,32,1,6.93,1554065730
353,Svetlogorsk,53.14,59.15,33.8,80,90,11.18,1554064200
354,Nong Kung Si,16.65,103.3,75.2,83,68,2.24,1554062400
355,Rubtsovsk,51.53,81.22,43.76,86,80,8.39,1554066410
356,Rio Gallegos,-51.62,-69.22,59.0,58,0,2.24,1554062400
357,Tilichiki,60.47,166.1,33.23,91,92,10.18,1554066410
358,Batagay-Alyta,67.8,130.41,-8.45,44,0,2.13,1554066328
359,Mackenzie,55.34,-123.09,48.2,49,40,11.41,1554065820
360,Marrakesh,31.63,-7.99,59.0,67,40,8.05,1554064200
361,Isangel,-19.55,169.27,78.59,100,76,10.96,1554065871
362,Elat,2.91,11.16,74.9,88,24,2.68,1554066411
363,Moramanga,-18.95,48.23,63.56,100,32,1.34,1554066412
364,Glenwood Springs,39.55,-107.33,42.08,58,75,4.7,1554066066
365,Bermejillo,25.89,-103.62,67.05,40,20,6.93,1554066197
366,Ust-Ilimsk,57.96,102.73,33.32,97,92,4.36,1554066412
367,Mutsu,41.29,141.2,28.0,79,76,3.91,1554066008
368,Jumla,29.28,82.18,23.15,86,0,1.79,1554066413
369,Vestmannaeyjar,63.44,-20.27,36.65,100,88,7.16,1554065826
370,Ixtapa,20.71,-105.21,78.89,61,5,10.29,1554065722
371,Camacha,33.08,-16.33,59.77,72,20,9.17,1554064200
372,La Macarena,2.18,-73.79,81.56,74,12,2.01,1554066414
373,Blackfoot,43.19,-112.35,51.19,34,40,12.75,1554066083
374,Sola,58.89,5.65,33.08,69,0,10.29,1554066302
375,College,64.86,-147.8,44.04,64,1,4.81,1554065747
376,Ambon,47.55,-2.56,52.48,71,12,9.17,1554066327
377,Maumere,-8.63,122.22,79.85,100,20,3.69,1554065840
378,Lakatoro,-16.11,167.42,80.21,99,48,5.14,1554065901
379,Inirida,3.87,-67.92,83.9,79,8,2.8,1554066415
380,Ha Giang,22.83,104.99,62.03,97,92,1.68,1554066415
381,Igrim,63.19,64.42,27.38,75,0,8.16,1554066416
382,Lieksa,63.32,30.02,25.13,82,0,5.59,1554066416
383,Buala,-8.15,159.59,76.07,100,92,2.57,1554066241
384,Bubaque,11.28,-15.83,88.76,76,8,6.93,1554065848
385,Miraflores,5.2,-73.14,65.09,68,32,2.46,1554066417
386,Gariaband,20.63,82.06,71.39,63,56,6.15,1554066417
387,Bireun,5.2,96.7,81.74,100,12,4.03,1554066417
388,Adrar,27.87,-0.29,75.2,19,0,12.75,1554062400
389,Kargopol,61.51,38.95,24.05,79,0,8.72,1554066418
390,Tazovskiy,67.47,78.7,29.99,92,88,17.22,1554065871
391,Tual,-5.67,132.75,82.55,100,68,14.65,1554065906
392,Nogales,31.34,-110.94,73.33,9,1,3.36,1554066327
393,Macau,-5.11,-36.64,76.88,97,32,3.36,1554066418
394,Burhaniye,39.51,26.98,49.51,61,40,21.92,1554066130
395,Chara,39.42,22.43,47.19,61,0,8.05,1554061800
396,Adjumani,3.38,31.79,68.78,93,32,2.8,1554066419
397,Itarema,-2.92,-39.92,80.21,92,92,4.92,1554065883
398,Dicabisagan,17.08,122.42,71.12,100,64,2.46,1554066419
399,Kailua,21.39,-157.74,75.0,73,90,5.14,1554066392
400,Kishapu,-3.61,33.87,65.45,91,44,2.91,1554066420
401,Alangudi,10.36,78.99,80.6,57,0,9.4,1554064200
402,Yokadouma,3.52,15.05,74.09,89,0,2.13,1554066420
403,Sao Joao da Barra,-21.64,-41.05,80.6,61,40,13.87,1554062400
404,Ngong,-1.37,36.65,69.06,53,75,14.99,1554066129
405,Vao,59.1,26.19,29.81,83,0,10.96,1554065825
406,Rantepao,-2.97,119.9,63.74,100,48,2.24,1554066421
407,Homer,59.64,-151.54,46.56,52,1,3.36,1554065683
408,Qaqortoq,60.72,-46.03,21.2,44,0,13.87,1554061800
409,Saint-Francois,46.42,3.91,44.65,61,0,4.03,1554065203
410,Samarai,-10.62,150.67,77.15,100,92,9.17,1554065857
411,Pushkino,56.01,37.85,47.07,75,0,13.42,1554065878
412,Atar,20.52,-13.05,59.06,58,0,4.47,1554065898
413,Pathardi,19.17,75.17,70.13,52,0,6.26,1554066422
414,Balgazyn,51.0,95.2,15.86,64,0,3.91,1554066422
415,Taketa,32.97,131.38,36.0,69,48,1.99,1554063126
416,Maniitsoq,65.42,-52.9,21.62,88,76,12.97,1554066054
417,Moerai,-22.43,-151.33,77.33,100,56,22.7,1554066065
418,Kavieng,-2.57,150.8,82.1,100,68,8.95,1554065879
419,Aitape,-3.15,142.36,80.66,96,76,6.71,1554066423
420,Pimentel,-3.7,-45.5,81.2,84,76,2.24,1554066055
421,Alekseyevsk,57.84,108.35,14.69,74,12,3.91,1554066101
422,Praia da Vitoria,38.73,-27.07,55.69,87,40,28.3,1554066053
423,Saint-Joseph,43.56,6.97,48.54,70,0,3.36,1554066034
424,Brawley,32.98,-115.53,81.23,11,1,12.75,1554066063
425,Turukhansk,65.8,87.96,27.83,95,68,11.97,1554065860
426,Lucapa,-8.42,20.74,68.15,92,24,2.57,1554066246
427,Peachland,49.77,-119.75,59.32,38,75,16.11,1554065706
428,Otjimbingwe,-22.35,16.13,65.09,93,68,1.12,1554066425
429,Moorhead,46.87,-96.75,36.75,69,90,10.29,1554066333
430,Yumen,40.29,97.04,29.45,63,12,2.13,1554066215
431,Tura,25.52,90.21,63.65,95,56,3.69,1554065876
432,Mogadishu,2.04,45.34,83.36,98,0,15.77,1554066268
433,Calama,-22.46,-68.93,75.2,25,20,23.04,1554062400
434,Kuusamo,65.96,29.19,24.8,79,0,6.93,1554063600
435,Conceicao da Barra,-18.59,-39.73,80.21,86,0,12.3,1554066426
436,Sinnamary,5.38,-52.96,81.02,92,56,9.84,1554066031
437,Klimovo,52.38,32.2,48.53,70,32,9.51,1554066427
438,Gravdal,59.79,5.78,32.65,80,0,4.7,1554066422
439,Krapivinskiy,55.0,86.81,39.2,80,40,8.95,1554064200
440,Kenmare,51.88,-9.58,47.18,96,20,8.16,1554066427
441,Murray Bridge,-35.12,139.28,58.37,71,88,2.57,1554066355
442,Nizhniy Tsasuchey,50.52,115.13,9.56,58,0,4.36,1554066428
443,La Tuque,47.44,-72.79,29.45,75,68,8.39,1554066428
444,Mattru,7.62,-11.83,87.86,58,0,7.27,1554066340
445,Fortuna,38.18,-1.13,55.85,93,75,1.12,1554065796
446,Verin,41.94,-7.44,55.13,18,92,3.0,1554066307
447,Hendrina,-26.16,29.72,62.51,78,0,1.01,1554066106
448,Fairbanks,64.84,-147.72,44.15,64,1,4.81,1554065747
449,Vardo,39.62,-77.74,46.78,48,90,24.16,1554066035
450,Cabo San Lucas,22.89,-109.91,83.8,20,5,8.05,1554066106
451,Vila,45.18,8.4,54.23,36,0,4.7,1554066204
452,Nanganga,-10.41,39.17,73.91,90,32,2.13,1554066429
453,Behbahan,30.59,50.24,74.14,42,40,18.34,1554062400
454,Saint Anthony,43.97,-111.68,47.52,34,40,12.75,1554066343
455,Chunoyar,57.45,97.32,32.69,94,32,5.14,1554066430
456,Boguchany,58.38,97.46,31.52,91,36,4.92,1554066430
457,Clyde River,70.47,-68.59,3.2,84,90,8.05,1554064080
458,Bensonville,6.45,-10.61,82.4,83,40,8.5,1554062400
459,Matagami,9.67,8.4,76.79,32,0,6.15,1554065941
460,Norfolk,36.85,-76.29,49.82,81,90,6.93,1554066181
461,Caxito,-22.65,-42.51,79.72,61,20,9.17,1554062400
462,Vaitape,-16.52,-151.75,83.72,100,36,4.7,1554066431
463,Sokoni,-12.89,28.78,69.59,52,20,6.71,1554066432
464,Songea,-10.68,35.65,71.6,83,5,2.24,1554062400
465,Morehead,38.18,-83.43,37.99,44,75,18.34,1554066091
466,Tocantins,-21.17,-43.02,81.0,64,76,1.01,1554066291
467,George,6.63,3.35,83.18,84,12,9.17,1554065919
468,Avera,33.19,-82.53,61.05,51,40,12.75,1554065887
469,Altay,47.83,88.13,16.85,64,0,2.24,1554065922
470,Ngunguru,-35.62,174.5,69.01,96,92,18.01,1554064687
471,Kutum,14.2,24.66,66.35,21,0,10.63,1554066433
472,Petropavlovsk-Kamchatskiy,53.05,158.65,19.4,79,36,4.47,1554064200
473,Dolinsk,47.32,142.8,5.0,84,36,7.38,1554064200
474,Mizdah,31.45,12.98,56.72,41,88,7.72,1554066433
475,Oranjemund,-28.55,16.43,60.5,92,24,14.99,1554066267
476,Nemuro,43.32,145.57,29.09,100,12,8.16,1554066286
477,Whitehorse,60.72,-135.06,43.21,38,40,8.05,1554066124
478,Chebsara,59.2,38.84,33.8,93,90,6.71,1554062400
479,Zemio,5.02,25.13,74.09,78,12,3.91,1554066435
480,Kijang,35.24,129.21,35.6,43,0,2.24,1554062400
481,Port Blair,11.67,92.75,83.45,100,0,8.16,1554066198
482,Casin,46.2,26.75,48.07,57,0,4.7,1554064200
483,Ipixuna,-1.76,-48.8,82.4,78,75,6.93,1554062400
484,Hay River,60.82,-115.79,41.0,56,75,17.22,1554062400
485,Faya,18.39,42.45,65.34,39,0,11.41,1554062400
486,Wenling,28.38,121.38,46.65,65,92,7.94,1554066257
487,Provost,52.35,-110.26,37.73,69,76,4.36,1554066437
488,Isugod,9.34,118.12,78.41,100,0,7.16,1554066437
489,Reyes,-14.3,-67.34,92.25,59,40,9.17,1554062400
490,Qasigiannguit,68.82,-51.19,17.6,67,48,10.29,1554061800
491,Kyritz,52.94,12.4,36.75,58,0,7.72,1554066336
492,Griffith,-34.29,146.06,51.46,81,44,3.58,1554062400
493,Dunmore Town,25.5,-76.65,74.63,100,0,2.13,1554066438
494,Sile,35.56,-106.37,40.68,80,90,13.87,1554066435
495,Nizwa,22.93,57.53,65.63,41,12,2.46,1554066412
496,Zhuhai,40.71,112.04,24.8,38,0,2.24,1554062400
497,Hot Springs,34.5,-93.06,53.56,35,1,8.05,1554066330
498,Dingle,11.0,122.67,73.19,74,0,12.53,1554066439
499,Vanimo,-2.67,141.3,82.55,100,80,13.76,1554065890
500,Pacific Grove,36.62,-121.92,70.09,46,1,5.82,1554066415
501,Barreirinhas,-2.75,-42.83,79.76,87,68,5.14,1554066326
502,Kargasok,59.06,80.87,31.43,83,76,8.28,1554066338
503,Shiloh,38.56,-89.9,43.48,52,40,9.51,1554066436
504,Moldava nad Bodvou,48.61,21.0,55.18,53,0,9.17,1554066104
505,Ulkan,57.24,107.32,16.31,78,0,3.58,1554066440
506,Kuala Terengganu,5.33,103.14,78.28,94,75,4.7,1554062400
507,Comodoro Rivadavia,-45.87,-67.48,82.4,24,0,12.75,1554062400
508,San Diego de los Banos,22.65,-83.37,83.27,51,88,3.36,1554066363
509,Arman,59.7,150.17,8.75,68,0,5.03,1554066290
510,Hovd,63.83,10.7,32.45,84,40,19.46,1554066317
511,Monetnyy,57.05,60.88,32.0,89,75,8.95,1554064200
512,Pozo Colorado,-23.49,-58.8,91.73,55,56,8.95,1554066441
513,Shyroke,47.96,38.23,42.05,84,0,8.95,1554066441
514,Sabang,13.72,123.58,73.19,98,8,6.93,1554066019
515,Malanville,11.86,3.39,86.6,27,32,6.71,1554066442
516,Thaba-Tseka,-29.52,28.61,44.48,71,24,2.68,1554066442
517,Pampa,35.54,-100.96,50.0,31,1,9.17,1554066052
518,Amapa,15.09,-87.97,88.83,38,20,9.17,1554066338
519,Itaquaquecetuba,-23.49,-46.35,77.56,69,0,6.93,1554065104
520,Langsa,4.47,97.97,69.05,93,32,2.57,1554066443
521,Carutapera,-1.2,-46.02,77.51,97,92,5.59,1554065988
522,Kitaibaraki,36.84,140.74,37.74,50,0,3.0,1554066196
523,Leninsk-Kuznetskiy,54.66,86.17,39.2,80,40,8.95,1554064200
524,Tromso,69.65,18.96,26.49,74,75,19.46,1554063600
525,Codrington,-28.95,153.24,55.29,87,0,6.93,1554065723
526,Kenai,60.55,-151.26,44.51,56,1,3.13,1554066124
527,Mackay,53.65,-115.58,36.39,80,75,11.41,1554062940
528,Tabou,4.42,-7.36,85.16,97,32,8.39,1554066152
529,Okitipupa,6.5,4.78,82.91,73,0,4.14,1554066444
530,Benjamin Aceval,-24.97,-57.57,80.6,78,0,2.24,1554062400
531,Makat,47.65,53.35,33.86,90,0,3.13,1554066444
532,Pacifica,37.61,-122.49,69.1,42,5,4.7,1554066368
533,Anloga,5.79,0.9,84.2,83,40,6.93,1554062400
534,Atambua,-9.11,124.89,75.8,100,0,2.24,1554066033
535,Nagpur,21.15,79.08,89.6,15,20,10.29,1554064200
536,Split,43.51,16.44,53.42,62,0,2.24,1554066374
537,Narsaq,60.91,-46.05,21.2,44,0,13.87,1554061800
538,Negara,-8.36,114.62,79.22,99,48,1.79,1554066447
539,Ipu,-4.32,-40.71,72.74,98,80,2.68,1554066447
540,Bayonet Point,28.33,-82.68,78.53,47,90,12.75,1554066246
541,Uva,56.98,52.19,37.0,87,80,5.99,1554066033
542,Caraballeda,10.61,-66.85,81.0,58,24,1.01,1554066026
543,Jijiga,9.35,42.8,60.86,45,0,4.81,1554066448
544,Linjiang,41.81,126.91,17.03,73,64,4.81,1554066448
545,Dergachi,51.24,48.77,36.47,86,56,13.53,1554066448
546,Merauke,-8.49,140.4,75.89,100,80,9.28,1554066304
547,Altamira,-3.2,-52.21,78.8,88,75,6.93,1554062400
548,Labuhan,-2.54,115.51,71.66,96,12,1.34,1554065867
549,Broken Hill,-31.97,141.45,50.0,81,40,5.82,1554062400
550,Cabra,37.47,-4.43,53.51,87,0,4.7,1554066423
551,Mokhsogollokh,61.4,128.95,1.19,60,0,2.57,1554066449
552,Belyy Yar,53.6,91.39,35.6,81,0,2.24,1554064200
553,Batagay,67.65,134.64,-8.99,48,8,2.91,1554066450
554,Blythe,33.61,-114.59,79.97,9,1,16.11,1554066173
555,Novopokrovka,45.85,134.51,22.7,76,88,2.35,1554066450
556,Manicore,-5.81,-61.3,86.06,74,32,2.13,1554066186
557,Moyale,3.52,39.05,68.96,57,0,3.58,1554066272
558,Chicama,-7.84,-79.15,73.4,78,20,11.41,1554062400
559,Bantou,26.22,117.49,52.31,97,92,2.57,1554066451
560,Derzhavinsk,51.1,66.31,20.36,80,0,2.24,1554066340
561,Pochutla,15.74,-96.47,86.79,62,40,9.17,1554065230
562,Zhanakorgan,43.91,67.25,37.19,93,92,21.25,1554066451
563,Athabasca,54.72,-113.29,39.98,65,36,8.16,1554066451
